Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Lamborghini,Urus,France,2/2022,11 100 km,641 hp,Automatic,Petrol,4x4,12.6 l/100km,325 g/km,Green,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5.0,332999.0
Audi,S7,Germany,10/2019,112 670 km,345 hp,Automatic,Diesel,4x4,6.5 l/100km,170 g/km,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,63249.0
Lamborghini,Urus,Germany,7/2020,51 923 km,641 hp,Automatic,Petrol,4x4,13.6 l/100km,325 g/km,White,,,SUV / offroad,4/5 doors,5.0,275199.0
Mercedes-Benz,GLS 400,Germany,2/2023,16 000 km,326 hp,Automatic,Diesel,4x4,7.9 l/100km,210 g/km,Green,Brown interior,Full leather interior,SUV / offroad,4/5 doors,7.0,104249.0
Lamborghini,Urus,Germany,8/2024,1 060 km,657 hp,Automatic,Petrol,4x4,13.4 l/100km,320 g/km,Green,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5.0,455099.0
Audi,SQ8,Poland,1/2022,900 km,500 hp,Automatic,Petrol,4x4,12 l/100km,275 g/km,Black,,Full leather interior,SUV / offroad,4/5 doors,5.0,129749.0
Audi,Q8,Spain,5/2023,33 100 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,91799.0
Mercedes-Benz,GLS 350,Germany,3/2024,15 171 km,308 hp,Automatic,Diesel,4x4,8.8 l/100km,231 g/km,Black,Beige interior,Full leather interior,SUV / offroad,4/5 doors,7.0,107799.0
Mercedes-Benz,GLS 450,Netherlands,3/2022,39 996 km,385 hp,Automatic,Petrol,4x4,9.5 l/100km,226 g/km,Green,Brown interior,Full leather interior,SUV / offroad,4/5 doors,7.0,124099.0
Audi,Q8,Slovakia,1/2020,76 599 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,White,,Full leather interior,SUV / offroad,4/5 doors,5.0,56799.0
Audi,Q8,Italy,1/2023,64 900 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,72449.0
Audi,Q8,Germany,12/2019,57 333 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,68949.0
Audi,SQ8,Germany,7/2024,0 km,500 hp,Automatic,Petrol,4x4,12 l/100km,275 g/km,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,127249.0
Lamborghini,Huracan,Germany,4/2016,81 000 km,602 hp,Automatic,Petrol,4x4,12.1 l/100km,290 g/km,Orange,Black interior,Full leather interior,Coupe,2/3 doors,2.0,201799.0
Audi,S8,Germany,9/2014,126 300 km,512 hp,Automatic,Petrol,4x4,9 l/100km,216 g/km,Black,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5.0,36599.0
Audi,RSQ8,Germany,11/2024,2 000 km,591 hp,Automatic,Petrol,4x4,12.1 l/100km,277 g/km,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,164149.0
Porsche,992,Spain,6/2023,6 000 km,641 hp,Automatic,Petrol,4x4,11.5 l/100km,254 g/km,Green,Other interior color,Other interior material,Coupe,2/3 doors,4.0,303899.0
Mercedes-Benz,G 63 AMG,Germany,8/2024,49 km,577 hp,Automatic,Petrol,4x4,15.2 l/100km,373 g/km,Black,,,SUV / offroad,4/5 doors,5.0,303849.0
Aston Martin,DB12,Germany,10/2023,4 000 km,671 hp,Automatic,Petrol,4x2,11.6 l/100km,278 g/km,Black,Black interior,Full leather interior,Coupe,2/3 doors,4.0,303649.0
Mercedes-Benz,G 63 AMG,Germany,11/2022,3 874 km,577 hp,Automatic,Petrol,4x4,15.6 l/100km,373 g/km,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,303549.0
Porsche,992,Austria,6/2024,2 900 km,503 hp,Automatic,Petrol,4x2,12.6 l/100km,283 g/km,Silver,Black interior,Full leather interior,Coupe,2/3 doors,2.0,303449.0
McLaren,600LT,France,7/2019,5 100 km,591 hp,Automatic,Petrol,4x2,11.7 l/100km,266 g/km,Silver,Black interior,Alcantara interior,Coupe,2/3 doors,2.0,303449.0
Mercedes-Benz,G 63 AMG,Germany,10/2024,50 km,597 hp,Automatic,Petrol,4x4,14.8 l/100km,335 g/km,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,303399.0
Land Rover,Range Rover Sport,Austria,11/2024,42 km,626 hp,Automatic,Petrol,4x4,11.8 l/100km,283 g/km,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,303049.0
Land Rover,Range Rover,Belgium,1/2024,10 km,606 hp,Automatic,Petrol,4x4,11.4 l/100km,272 g/km,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,302999.0
Porsche,992,Spain,9/2021,21 000 km,641 hp,Automatic,Petrol,4x4,11.7 l/100km,257 g/km,White,Other interior color,Other interior material,Cabriolet,2/3 doors,2.0,302849.0
Porsche,992,Germany,6/2023,1 500 km,641 hp,Automatic,Petrol,4x4,11.7 l/100km,257 g/km,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,302599.0
Porsche,992,Germany,3/2024,11 000 km,641 hp,Automatic,Petrol,4x4,11.7 l/100km,257 g/km,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,302449.0
Mercedes-Benz,G 63 AMG,Germany,11/2024,30 km,597 hp,Automatic,Petrol,4x4,14.8 l/100km,335 g/km,,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,302399.0
Mercedes-Benz,G 63 AMG,Germany,8/2024,69 km,577 hp,Automatic,Petrol,4x4,15.6 l/100km,373 g/km,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,302399.0
Porsche,992,Germany,5/2024,50 km,641 hp,Automatic,Petrol,4x4,11.7 l/100km,257 g/km,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,302399.0
Porsche,992,Netherlands,7/2020,19 500 km,641 hp,Automatic,Petrol,4x4,11.7 l/100km,257 g/km,Blue,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,302249.0
