Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Audi,A5,Germany,2019,48934,188,Automatic,Diesel,4x2,4.8,127,Black,Black interior,Part leather interior,Cabriolet,2/3 doors,4,31999
Opel,Grandland,Germany,2024,10,129,Automatic,Petrol,4x2,4.9,112,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,28149
Volkswagen,Golf,Germany,2024,24350,148,Manual,Petrol,4x2,5.3,120,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,25199
Volkswagen,T-Cross,Italy,2021,17295,109,Automatic,Petrol,4x2,4.9,112,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,23149
Audi,Q3,Germany,2024,0,148,Manual,Petrol,4x2,6.6,140,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,39099
Mercedes-Benz,A 180,Italy,2022,21108,114,Automatic,Diesel,4x2,11.0,260,White,Other interior color,Part leather interior,Sedans / saloons,4/5 doors,5,30249
Opel,Astra,Austria,2023,10113,129,Automatic,Petrol,4x2,4.5,102,Yellow,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,26549
Ford,Transit Connect,Germany,2020,45756,99,Manual,Diesel,4x2,5.6,124,White,Other interior color,Cloth interior,Cargo VAN,4/5 doors,2,19299
Kia,Ceed,Germany,2021,32400,138,Automatic,Petrol,4x2,5.0,120,Silver,Other interior color,Cloth interior,Hatchback,4/5 doors,5,19349
BMW,120,Germany,2023,8547,176,Automatic,Petrol,4x2,8.0,195,Black,Black interior,Alcantara interior,Hatchback,4/5 doors,5,36949
Škoda,Kodiaq,Germany,2024,1200,190,Automatic,Diesel,4x4,5.9,149,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,55349
Seat,Tarraco,Germany,2024,17700,148,Automatic,Petrol,4x2,6.0,137,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,7,40549
Volkswagen,Passat,Germany,2024,19664,148,Manual,Diesel,4x2,5.0,116,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,29899
BMW,X3,Germany,2020,34360,181,Automatic,Petrol,4x4,8.0,195,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,39449
Fiat,Panda,Italy,2022,57662,70,Manual,Petrol,4x2,3.9,89,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,11199
Kia,Sportage,Germany,2019,59695,182,Manual,Diesel,4x4,5.9,154,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,24249
Mercedes-Benz,GLE 300,Poland,2023,26000,268,Automatic,Diesel,4x4,11.0,260,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,74549
